day|start|end|summary|description
Monday|16:15|17:30|Run Z2 + Strides|PURPOSE: Active aerobic maintenance. Reinforce easy running economy with neuromuscular strides.\nWARM-UP 10 min: 5 min easy jog HR < 135. Then: leg swings forward and back x10 each leg, high knees 2x20m, butt kicks 2x20m, A-skips 2x20m.\nMAIN SET 40 min Z2: HR cap 135-150 strict. Target pace 5:40-6:10/km on flat terrain. HR is the governor - not pace. If HR drifts above 150 before target pace, slow immediately. Breathe nasally - if you must open your mouth you are going too hard. Check posture every 10 min: tall, slight lean from ankles, relaxed shoulders.\nSTRIDES 6x20 sec: 85% controlled fast effort - not a sprint. Cues: tall posture, quick ground contact, relaxed jaw, arms drive back without crossing midline. 60 sec walk/jog full recovery between each.\nCOOL-DOWN 5 min: Easy jog fading to walk. 5 deep diaphragmatic breaths before moving on.\nKPI: Avg HR below 148. No cardiac drift in final 15 min. Pace-HR ratio stable. Log avg HR and avg pace.
Monday|05:30|07:00|Lower Strength + Sled Development|PURPOSE: Build lower body strength and Hyrox sled power without excessive fatigue carryover.\nWARM-UP 10 min: Hip circles x10 each direction, glute bridges 2x15 with 2-sec hold at top, goblet squat 2x10 light with 2-sec pause at bottom, ankle rotations x10 each, banded clamshells 2x15 each side.\nBACK SQUAT 4x5 @ RPE 7 (approx 80-87kg). 3 min rest. Cues: brace 360 degrees not just forward, knees track toes throughout, hip crease below knee at bottom, drive floor away on ascent, no forward torso collapse. If bar drifts forward the weight is too heavy. Log weight and RPE.\nROMANIAN DEADLIFT 4x6 @ RPE 7 (approx 75-85kg). 2.5 min rest. Cues: push hips back not down, neutral spine, feel hamstrings load fully before reversing, bar within 5cm of legs the entire way. Log weight and RPE.\nWALKING LUNGE 3x20m @ 40kg. 2 min rest. Cues: upright torso, rear knee hovers 2cm from floor, drive explosively through front heel, lead knee does not cave inward.\nSLED PUSH 6x15m moderate load. 60 sec rest. Lean forward approximately 45 degrees, short powerful fully-extended strides, stay on balls of feet, drive through full hip extension each step.\nSLED PULL 6x15m moderate load. 60 sec rest. Face away from sled, drive arms back forcefully, upright posture, quick short steps, lean slightly back to keep rope tension.\nCORE FINISHER 3 rounds: Plank 60 sec (brace all three planes, no hip sag) + side plank 30 sec each side (hips stacked and high) + dead bug 10 reps (lower back pinned to floor throughout). 45 sec rest between rounds.\nKPI: No form breakdown across any set. Squat depth consistent. Sled pace steady. Log all working weights.
Tuesday|05:30|06:45|Swim Technique + CSS Prep|PURPOSE: Reinforce technique from Thursday. Introduce more aerobic load.\nWARM-UP: 300m easy mixed strokes. No effort. Focus on water feel and relaxed neck position.\nDRILL SET 8x50m (25m drill + 25m swim), 20 sec rest. Rotate through: Rep 1-2 catch-up drill (wait until lead arm fully extended before opposite arm pulls - forces long stroke), Rep 3-4 fingertip drag (drag fingertips along surface on recovery to enforce high elbow), Rep 5-6 6-kick switch (6 flutter kicks between each stroke cycle to reinforce hip rotation), Rep 7-8 choice - whichever drill felt weakest.\nAEROBIC SET 6x100m, 20 sec rest: HR below 145. Target 16-18 stroke cycles per 25m length (32-36 arm strokes). 2-beat kick - just enough for balance, not powerful. Exhale fully underwater before rotating to breathe. Head rotation minimal - one goggle in, one goggle out.\nPULL SET: 200m pull buoy easy. Press chest slightly down, high elbow catch, feel the forearm pressing back through water not just the palm.\nKPI: Breathing every 3 strokes throughout. Relaxed neck and shoulders. Hips not sinking. Stroke count stable or decreasing across aerobic set.
Tuesday|16:15|17:30|Bike Threshold|PURPOSE: Second threshold stimulus of the week. Establish FTP repeatability.\nWARM-UP 15 min: Progressive build from 100W to 170W. Cadence 90-95 rpm. Include 3x20 sec fast-pedal at 110+ rpm at minutes 8, 10, and 12 to prime the neuromuscular system.\nMAIN SET 3x10 min @ 218-230W (95-100% FTP). 5 min easy spin 120-140W between intervals.\n  Interval 1: Start at 218W. Let HR settle by min 2 (expect 168-172). Target HR 170-174 by min 5. Do not exceed 178.\n  Interval 2: If interval 1 HR stayed below 175 at the end, target 222-225W. Otherwise hold 218W.\n  Interval 3: Hard cap HR 180. Maintain cadence above 88 rpm. If power must drop to keep HR below 180, accept it - HR cap wins.\nCOOL-DOWN 10 min: Easy spin from 160W down to 90W. Spin legs fully loose.\nFUEL: 40-60g fast carbs 20 min before starting. 500ml water during.\nKPI: Power CV below 5% per interval. HR below 180 throughout. RPE 7-8 in final minute of each interval. Log avg power and avg HR per interval.
Wednesday|05:30|06:50|Hyrox Engine Intro|PURPOSE: Establish compromised running baseline. First exposure to run-SkiErg alternation under fatigue.\nWARM-UP 10 min: 5 min easy jog HR < 130, leg swings x10 each, hip circles x10 each direction, 2x20m high knees, 2x20m butt kicks, 2x20m A-skips.\nMAIN SET 4 rounds. 2 min easy walk/jog rest between rounds:\n  RUN 800m at 10K effort (approx 4:55-5:10/km). Controlled - not a sprint. Tall posture, cadence above 170 spm, breathe rhythmically through mouth at this effort level. Relax upper body.\n  IMMEDIATELY into SKIERG 500m: Hinge from hips on the pull, hands drive through to hip level, arms float back to eye height with relaxed elbows. Stroke rate 22-26 spm. Target pace sub-2:05 per 500m. Do not rush the recovery phase of the stroke - a longer more powerful stroke beats a fast sloppy one.\n  Round target: complete each round within 10 sec of your round 1 split. Log every split.\nCOOL-DOWN 10 min: 5 min easy jog, hip flexor kneeling lunge 60 sec each side, 8 deep diaphragmatic breaths in 90/90 position.\nKPI: Round splits within 10 sec of each other. HR recovers below 145 within rest window. Form holds across all 4 rounds. All splits logged.
Wednesday|16:30|17:10|Mobility + Breathing Reset|PURPOSE: Parasympathetic reset. Correct chest-breathing pattern. Restore hip and thoracic mobility.\nHIP FLOW 7 min: 90/90 hip stretch 90 sec each side (breathe through the tension, do not force). Pigeon pose 90 sec each side. Kneeling hip flexor lunge 60 sec each side with posterior pelvic tilt at end range.\nT-SPINE FLOW 5 min: Thread the needle 10 slow reps each side. Cat-cow 15 reps at full range 3 sec each direction. Thoracic extension over foam roller 60 sec upper back then 60 sec mid back.\nANKLE MOBILITY 3 min: Wall ankle stretch 30 sec each side. Banded dorsiflexion 30 sec each side.\nTRUNK STABILITY 10 min: Dead bug 3x10 (3-sec lowering phase, lower back pinned to floor throughout). Bird dog 3x10 each side (3-sec hold at full extension, no hip rotation). Pallof press 3x12 each side (brace hard before pressing out).\nDIAPHRAGMATIC BREATHING 8 min: Lie prone (crocodile position), place hand on lower back to feel expansion. Inhale 5 sec through nose - belly and lower back expand, chest stays completely still. Hold 2 sec. Exhale 7 sec through pursed lips. 4 rounds of 8 breaths with 30 sec rest between rounds. This directly corrects your chest-breathing pattern - do it every session this week.\nKPI: Tension clearly reduced by end. Breathing feels lower and slower. Evening HRV trend should be positive.
Thursday|05:30|06:45|Swim Technique + Pull Focus|PURPOSE: Build technique foundation and comfort in the water. No fitness targets this session - mechanics only.\nWARM-UP: 200m easy any stroke, no effort. Feel neutral buoyancy and water position.\nDRILL SET 6x50m, 20 sec rest: Rep 1-2 catch-up drill (lead arm fully extended before opposite arm initiates pull - eliminates rushing), Rep 3-4 fist drill (closed fists to feel forearm pull not just palm, open fists on the 25m swim segment), Rep 5-6 bilateral breathing (deliberate every 3 strokes, count each breath).\nPULL SET 8x100m pull buoy, 15-20 sec rest: HR below 150. Focus: early vertical forearm on entry (fingers point to floor at the catch before pulling back), elbow stays high, press chest slightly down to float hips up. Count stroke cycles per 25m - target 16-18 cycles (32-36 arm strokes). If above 20 cycles you are slipping through the water. Hold or reduce count across the set.\nBUILD SET 4x50m, 20 sec rest: Rep 1 at 60% effort easy, Rep 2 at 70% moderate, Rep 3 at 80% moderate-hard holding mechanics, Rep 4 at 90% hard controlled - note where stroke breaks down under effort.\nCOOL-DOWN: 200m easy backstroke or sidestroke. Full passive rest.\nKPI: Stroke count holds or decreases across pull set. No dropped elbow under fatigue in build set. Breathing bilateral and relaxed throughout.
Thursday|16:15|17:30|Run Threshold Intervals|PURPOSE: Establish threshold HR at true running effort. First structured threshold session of the program.\nWARM-UP 15 min: 10 min easy jog building from HR 130 to 150. Then: A-skip 2x20m, B-skip 2x20m, butt kicks 2x20m, 3 strides building progressively to near-threshold pace (approx 4:45/km on stride 3).\nMAIN SET 4x8 min @ HR 172-178. 2 min easy jog recovery between reps:\n  Rep 1: Start at 4:50/km. Let HR climb to band naturally by min 2 - do not force it. Target 172-175. Do not exceed 178.\n  Rep 2-3: Settle into steady state. Adjust pace to hold the HR band. If HR drifts above 178 slow 5-10 sec/km. If HR stays below 172 pick up slightly. Pace is a byproduct not the target.\n  Rep 4: Accumulated fatigue will feel harder. Shorten stride slightly, keep cadence above 170 spm. If HR exceeds 180 immediately slow to 5:20/km until it drops back.\n  Recovery: HR must return below 145 within 90 sec of stopping. If it does not, extend rest to 3 min and note it.\nCOOL-DOWN 10 min: Easy jog fading to walk. Standing quad stretch 45 sec each, calf stretch 45 sec each, kneeling hip flexor 60 sec each.\nFUEL: 30-45g carbs 30 min pre-session (e.g. 4 rice cakes plus honey).\nKPI: All 4 reps within HR band 172-178. Pace SD below 10 sec/km across reps 2-4. Form intact in rep 4. Log avg HR and avg pace per rep.
Friday|16:15|17:25|Bike Z2 Aerobic|PURPOSE: Active recovery ride. Preserve legs after Thursday double. Build aerobic base at low cardiac cost.\nSESSION 60-70 min @ 130-170W, cadence 88-95 rpm throughout. This is a recovery-quality ride - no intensity, no surges.\nCADENCE WORK 5x1 min at 100-110 rpm spread evenly through the ride (at approx min 15, 25, 35, 45, 55). Power stays flat in Z2 range during each cadence rep. 2 min normal cadence 88-92 rpm between each rep. Spin - do not grind.\nBREATHING RULE: Nasal breathing only the entire session. If you cannot breathe through your nose comfortably you are going too hard - back off and hold the lower power until breathing normalises.\nCOOL-DOWN: Final 10 min below 130W, cadence 85 rpm, spin legs fully loose.\nKPI: Avg HR below 145. No cardiac drift across the ride (HR not rising over equal power blocks). Avg power stays inside Z2 range throughout.
Friday|05:30|07:00|Hyrox Strength Endurance Circuit|PURPOSE: Hyrox station conditioning. Build movement quality and round-to-round consistency under metabolic load.\nWARM-UP 8 min: Row 500m easy damper 3-4, 10 hip circles each direction, 10 bodyweight squats slow, 10 shoulder circles forward and back, 10 band pull-aparts.\nMAIN SET 4 rounds. 3 min rest between rounds. Log every round split.\n  ROW 750m: Damper 4-5. Legs drive first, lean back, then pull arms to lower ribs. Return: arms out, lean forward, then legs. Stroke rate 24-28 spm. Target sub-2:26 total (sub-3:15 per 500m pace). Do not rush the stroke rate - a longer more powerful stroke beats a fast sloppy one.\n  FARMER CARRY 100m: 40-50kg total (20-25kg each hand). Walk tall, no torso lean. Shoulders packed down and back. Core braced hard. Do not switch grip if possible. If grip fails set down, reset position, and continue. Note if grip was the limiter.\n  SANDBAG LUNGE 25m: 20kg sandbag on shoulder. Upright torso throughout. Rear knee hovers 2cm from floor. Drive explosively through front heel. Alternate which shoulder each round.\n  BURPEE BROAD JUMP x20: Maximum horizontal distance each rep. Measure round 1 jump roughly and aim to replicate it across all 20. Chest touches floor each rep. No pausing at top between reps.\n  WALL BALL x25: 9kg ball, full squat depth (hip crease below knee), explosive hip drive, release at eye height, hit target every rep. Target 20+ unbroken in round 1. In rounds 3-4 break before failure: 15 reps, rest 5 sec, finish 10.\nKPI: All 4 rounds completed. Round 4 split within 45 sec of round 1. Movement quality maintained throughout. All round splits logged.
